hour,avg_Facebook
2015-11-25 02,8.5
2015-11-28 22,49.25
2015-12-01 08,29.666666666666668
2015-12-14 07,135.6875
2015-12-18 11,123.31428571428572
2015-12-26 15,145.85714285714286
2016-01-03 00,44.666666666666664
2015-11-25 09,28.176470588235293
2015-12-01 23,295.0
2015-12-18 19,293.125
2015-12-22 07,20.05
2015-12-26 17,165.15384615384616
2016-01-14 02,20.363636363636363
2015-10-19 11,-1.0
2015-11-03 11,-1.0
2015-11-12 03,11.875
2015-11-13 08,2.5714285714285716
2015-11-17 19,18.9
2015-11-29 01,245.0
2015-12-05 09,3.75
2015-12-17 19,79.4
2015-12-28 23,280.25
2016-01-02 01,385.25
2016-01-03 23,56.27272727272727
2015-11-02 10,-1.0
2015-11-09 05,26.8
2015-12-10 17,545.6551724137931
2015-12-17 16,196.65217391304347
2015-12-26 01,174.2
2016-01-04 19,173.26315789473685
2015-11-11 18,44.84615384615385
2015-11-22 07,11.857142857142858
2015-11-29 15,91.38461538461539
2015-12-11 13,176.63636363636363
2015-12-16 01,63.9
2015-12-24 23,14.333333333333334
2015-12-30 05,36.25
2016-01-05 02,138.21052631578948
2015-11-04 03,-1.0
2015-11-07 19,-1.0
2015-11-10 10,20.27777777777778
2015-11-22 18,300.44444444444446
2015-11-27 04,4.0
2015-12-05 01,150.27272727272728
2015-12-11 10,16.142857142857142
2015-12-14 09,15.142857142857142
2015-12-27 07,7.5
2015-12-28 16,142.42857142857142
2016-01-03 17,263.3181818181818
2015-11-12 18,76.14285714285714
2015-11-28 06,619.6
2015-12-16 19,94.25
2016-01-02 00,39.588235294117645
2016-01-07 16,125.82758620689656
2016-01-14 10,40.75
2015-11-05 20,-1.0
2015-11-14 05,1.0
2015-11-26 06,142.07692307692307
2015-11-27 19,50.53846153846154
2015-12-06 01,223.75
2015-12-20 17,37.375
2015-12-28 17,93.6
2016-01-03 22,7.7368421052631575
2016-01-04 20,323.23809523809524
2016-01-11 08,35.8125
2016-01-13 02,180.0
2015-03-01 02,-1.0
2015-11-17 08,4.285714285714286
2015-12-28 11,31.3125
2016-01-01 08,21.25
2016-01-05 08,229.04
2016-01-07 05,17.666666666666668
2016-01-12 02,1202.9333333333334
2016-03-01 00,12.0
2015-11-03 06,-1.0
2015-11-09 11,5.083333333333333
2015-11-10 11,93.94117647058823
2015-12-08 05,23.083333333333332
2015-12-23 11,9.642857142857142
2015-12-31 03,206.83333333333334
2016-01-13 13,59.56666666666667
2015-11-07 03,-1.0
2015-11-12 05,8.0
2015-11-17 20,16.846153846153847
2015-12-10 19,26.7
2015-12-13 13,139.8125
2015-12-19 15,86.66666666666667
2015-12-28 06,14.2
2016-01-10 05,42.666666666666664
2016-01-10 09,29.4
2015-10-22 04,-1.0
2015-10-27 00,-1.0
2015-11-16 15,46.11764705882353
2015-11-17 10,50.06666666666667
2015-11-20 11,266.44444444444446
2015-11-22 15,231.23529411764707
2015-11-26 02,109.25
2015-11-30 10,136.06666666666666
2015-12-11 23,74.61538461538461
2015-12-03 08,46.36666666666667
2015-11-18 19,33.083333333333336
2015-11-30 14,110.96969696969697
2015-11-30 19,199.22222222222223
2015-12-06 09,99.15
2015-12-06 11,804.5
2015-12-22 02,73.07692307692308
2016-01-04 15,241.83333333333334
2015-10-29 06,-1.0
2015-10-29 15,-1.0
2015-11-11 13,23.58823529411765
2015-11-23 20,234.1
2015-12-23 09,356.9375
2015-12-28 10,150.7
2016-01-03 01,52.916666666666664
2016-01-07 03,37.5
2015-10-29 07,-1.0
2015-11-22 01,244.0
2015-11-23 08,19.352941176470587
2015-12-07 05,85.3076923076923
2015-12-09 01,111.5625
2015-12-22 13,18.904761904761905
2015-12-23 01,76.75
2016-01-08 22,85.89473684210526
2016-01-12 23,35.3235294117647
2016-01-14 07,131.6153846153846
2015-11-04 21,-1.0
2015-11-05 03,-1.0
2015-11-20 23,167.33333333333334
2015-11-30 02,183.61111111111111
2015-12-06 21,129.8
2015-12-16 12,38.34782608695652
2015-12-21 14,72.13793103448276
2015-12-24 20,809.0
2015-12-30 10,416.2142857142857
2016-01-02 06,21.333333333333332
2016-01-12 04,136.0
2015-10-31 00,-1.0
2015-11-13 15,41.09090909090909
2015-11-15 17,98.18181818181819
2015-11-25 04,2.727272727272727
2015-11-25 12,132.16666666666666
2015-12-02 10,18.15
2015-12-02 17,123.56521739130434
2015-12-10 16,645.4411764705883
2015-12-19 11,26.375
2015-12-20 21,150.42857142857142
2015-12-30 16,287.65625
2015-11-09 15,377.5
2015-11-18 12,16.692307692307693
2015-12-04 00,278.75
2015-12-05 03,257.45454545454544
