hour,avg_GooglePlus
2015-11-25 02,0.3
2015-11-28 22,0.375
2015-12-01 08,0.6666666666666666
2015-12-14 07,5.8125
2015-12-18 11,8.4
2015-12-26 15,6.428571428571429
2016-01-03 00,1.7222222222222223
2015-11-25 09,0.7647058823529411
2015-12-01 23,16.586206896551722
2015-12-18 19,5.5
2015-12-22 07,1.3
2015-12-26 17,4.0
2016-01-14 02,1.3636363636363635
2015-10-19 11,-1.0
2015-11-03 11,-1.0
2015-11-12 03,0.625
2015-11-13 08,0.14285714285714285
2015-11-17 19,2.35
2015-11-29 01,1.75
2015-12-05 09,0.0
2015-12-17 19,14.25
2015-12-28 23,2.5833333333333335
2016-01-02 01,21.5
2016-01-03 23,3.272727272727273
2015-11-02 10,-1.0
2015-11-09 05,1.8
2015-12-10 17,10.344827586206897
2015-12-17 16,6.478260869565218
2015-12-26 01,17.6
2016-01-04 19,7.105263157894737
2015-11-11 18,0.6153846153846154
2015-11-22 07,2.142857142857143
2015-11-29 15,25.23076923076923
2015-12-11 13,13.636363636363637
2015-12-16 01,6.1
2015-12-24 23,1.0
2015-12-30 05,1.1
2016-01-05 02,1.4210526315789473
2015-11-04 03,-1.0
2015-11-07 19,-1.0
2015-11-10 10,3.3333333333333335
2015-11-22 18,6.222222222222222
2015-11-27 04,1.3333333333333333
2015-12-05 01,14.363636363636363
2015-12-11 10,0.5
2015-12-14 09,0.7142857142857143
2015-12-27 07,0.25
2015-12-28 16,14.285714285714286
2016-01-03 17,3.227272727272727
2015-11-12 18,5.571428571428571
2015-11-28 06,26.0
2015-12-16 19,5.2
2016-01-02 00,4.470588235294118
2016-01-07 16,4.0344827586206895
2016-01-14 10,0.85
2015-11-05 20,-1.0
2015-11-14 05,2.0
2015-11-26 06,1.4615384615384615
2015-11-27 19,10.153846153846153
2015-12-06 01,34.125
2015-12-20 17,2.875
2015-12-28 17,11.0
2016-01-03 22,1.105263157894737
2016-01-04 20,5.285714285714286
2016-01-11 08,3.0
2016-01-13 02,9.952380952380953
2015-03-01 02,-1.0
2015-11-17 08,0.8571428571428571
2015-12-28 11,1.875
2016-01-01 08,4.125
2016-01-05 08,1.76
2016-01-07 05,2.6666666666666665
2016-01-12 02,10.8
2016-03-01 00,0.4
2015-11-03 06,-1.0
2015-11-09 11,0.8333333333333334
2015-11-10 11,2.0
2015-12-08 05,1.1666666666666667
2015-12-23 11,1.6428571428571428
2015-12-31 03,1.1666666666666667
2016-01-13 13,3.066666666666667
2015-11-07 03,-1.0
2015-11-12 05,1.0
2015-11-17 20,0.6923076923076923
2015-12-10 19,0.7
2015-12-13 13,2.75
2015-12-19 15,5.444444444444445
2015-12-28 06,0.7
2016-01-10 05,1.1333333333333333
2016-01-10 09,1.2
2015-10-22 04,-1.0
2015-10-27 00,-1.0
2015-11-16 15,7.764705882352941
2015-11-17 10,4.266666666666667
2015-11-20 11,3.111111111111111
2015-11-22 15,6.823529411764706
2015-11-26 02,0.5833333333333334
2015-11-30 10,4.8
2015-12-11 23,11.384615384615385
2015-12-03 08,0.23333333333333334
2015-11-18 19,0.5833333333333334
2015-11-30 14,8.393939393939394
2015-11-30 19,3.925925925925926
2015-12-06 09,1.0
2015-12-06 11,0.0
2015-12-22 02,0.15384615384615385
2016-01-04 15,11.428571428571429
2015-10-29 06,-1.0
2015-10-29 15,-1.0
2015-11-11 13,2.5294117647058822
2015-11-23 20,12.8
2015-12-23 09,0.1875
2015-12-28 10,1.5
2016-01-03 01,1.6666666666666667
2016-01-07 03,3.6
2015-10-29 07,-1.0
2015-11-22 01,8.285714285714286
2015-11-23 08,0.4117647058823529
2015-12-07 05,1.7692307692307692
2015-12-09 01,7.4375
2015-12-22 13,0.8095238095238095
2015-12-23 01,3.05
2016-01-08 22,5.052631578947368
2016-01-12 23,2.0588235294117645
2016-01-14 07,0.8461538461538461
2015-11-04 21,-1.0
2015-11-05 03,-1.0
2015-11-20 23,1.5333333333333334
2015-11-30 02,10.555555555555555
2015-12-06 21,7.533333333333333
2015-12-16 12,1.4782608695652173
2015-12-21 14,3.3793103448275863
2015-12-24 20,29.25
2015-12-30 10,19.642857142857142
2016-01-02 06,0.6666666666666666
2016-01-12 04,6.75
2015-10-31 00,-1.0
2015-11-13 15,0.9090909090909091
2015-11-15 17,1.5454545454545454
2015-11-25 04,2.0
2015-11-25 12,2.4166666666666665
2015-12-02 10,1.7
2015-12-02 17,9.608695652173912
2015-12-10 16,15.852941176470589
2015-12-19 11,3.375
2015-12-20 21,8.642857142857142
2015-12-30 16,5.34375
2015-11-09 15,1.9
2015-11-18 12,1.9230769230769231
2015-12-04 00,7.5625
2015-12-05 03,8.181818181818182
2015-12-13 14,3.1666666666666665
2015-12-22 16,3.1470588235294117
2015-12-22 18,0.75
2016-01-09 19,1.5
2016-01-12 11,2.7777777777777777
2016-01-13 00,9.434782608695652
2015-10-21 23,-1.0
2015-11-06 14,-1.0
2015-11-09 03,1.0
2015-11-14 12,4.5
2015-11-17 05,5.1
2015-11-25 07,4.230769230769231
2015-11-26 03,0.7857142857142857
2015-12-14 01,6.0
2015-12-20 10,1.0
2015-12-21 01,3.111111111111111
2015-12-27 20,23.2
2016-01-06 18,8.823529411764707
2016-01-11 00,3.1666666666666665
2015-10-22 08,-1.0
2015-11-11 12,2.7058823529411766
2015-11-16 09,2.210526315789474
2015-11-30 03,4.6875
2015-12-03 00,6.090909090909091
2015-12-06 22,7.0
2015-12-08 16,5.166666666666667
