hour,avg_LinkedIn
2015-11-25 02,3.4
2015-11-28 22,39.375
2015-12-01 08,1.8333333333333333
2015-12-14 07,3.625
2015-12-18 11,51.08571428571429
2015-12-26 15,1.0
2016-01-03 00,5.222222222222222
2015-11-25 09,1.7647058823529411
2015-12-01 23,35.03448275862069
2015-12-18 19,37.71875
2015-12-22 07,4.4
2015-12-26 17,1.9230769230769231
2016-01-14 02,6.636363636363637
2015-10-19 11,-1.0
2015-11-03 11,-1.0
2015-11-12 03,0.5
2015-11-13 08,0.0
2015-11-17 19,14.2
2015-11-29 01,1.25
2015-12-05 09,1.5
2015-12-17 19,15.1
2015-12-28 23,8.25
2016-01-02 01,13.75
2016-01-03 23,4.545454545454546
2015-11-02 10,-1.0
2015-11-09 05,124.4
2015-12-10 17,24.379310344827587
2015-12-17 16,9.521739130434783
2015-12-26 01,2.0
2016-01-04 19,9.842105263157896
2015-11-11 18,6.153846153846154
2015-11-22 07,5.428571428571429
2015-11-29 15,26.615384615384617
2015-12-11 13,13.818181818181818
2015-12-16 01,42.9
2015-12-24 23,4.0
2015-12-30 05,2.8
2016-01-05 02,0.05263157894736842
2015-11-04 03,-1.0
2015-11-07 19,-1.0
2015-11-10 10,29.333333333333332
2015-11-22 18,4.888888888888889
2015-11-27 04,0.16666666666666666
2015-12-05 01,19.90909090909091
2015-12-11 10,2.857142857142857
2015-12-14 09,1.9285714285714286
2015-12-27 07,0.5
2015-12-28 16,12.333333333333334
2016-01-03 17,4.318181818181818
2015-11-12 18,36.57142857142857
2015-11-28 06,0.8
2015-12-16 19,22.65
2016-01-02 00,3.411764705882353
2016-01-07 16,6.689655172413793
2016-01-14 10,14.3
2015-11-05 20,-1.0
2015-11-14 05,4.0
2015-11-26 06,4.769230769230769
2015-11-27 19,0.38461538461538464
2015-12-06 01,24.125
2015-12-20 17,2.0
2015-12-28 17,7.88
2016-01-03 22,7.947368421052632
2016-01-04 20,5.809523809523809
2016-01-11 08,16.0625
2016-01-13 02,7.571428571428571
2015-03-01 02,-1.0
2015-11-17 08,3.142857142857143
2015-12-28 11,14.0
2016-01-01 08,0.0
2016-01-05 08,9.16
2016-01-07 05,16.0
2016-01-12 02,18.4
2016-03-01 00,2.2857142857142856
2015-11-03 06,-1.0
2015-11-09 11,6.333333333333333
2015-11-10 11,18.941176470588236
2015-12-08 05,15.583333333333334
2015-12-23 11,6.642857142857143
2015-12-31 03,0.8333333333333334
2016-01-13 13,9.333333333333334
2015-11-07 03,-1.0
2015-11-12 05,12.416666666666666
2015-11-17 20,16.615384615384617
2015-12-10 19,9.8
2015-12-13 13,8.75
2015-12-19 15,0.5555555555555556
2015-12-28 06,10.65
2016-01-10 05,46.733333333333334
2016-01-10 09,0.2
2015-10-22 04,-1.0
2015-10-27 00,-1.0
2015-11-16 15,42.529411764705884
2015-11-17 10,117.06666666666666
2015-11-20 11,11.61111111111111
2015-11-22 15,5.588235294117647
2015-11-26 02,0.6666666666666666
2015-11-30 10,62.46666666666667
2015-12-11 23,7.923076923076923
2015-12-03 08,1.2
2015-11-18 19,0.75
2015-11-30 14,27.12121212121212
2015-11-30 19,21.703703703703702
2015-12-06 09,9.65
2015-12-06 11,16.0
2015-12-22 02,2.230769230769231
2016-01-04 15,28.30952380952381
2015-10-29 06,-1.0
2015-10-29 15,-1.0
2015-11-11 13,45.94117647058823
2015-11-23 20,33.2
2015-12-23 09,3.375
2015-12-28 10,5.9
2016-01-03 01,1.75
2016-01-07 03,1.1
2015-10-29 07,-1.0
2015-11-22 01,1.5714285714285714
2015-11-23 08,1.7058823529411764
2015-12-07 05,4.884615384615385
2015-12-09 01,20.9375
2015-12-22 13,15.761904761904763
2015-12-23 01,3.75
2016-01-08 22,7.526315789473684
2016-01-12 23,26.147058823529413
2016-01-14 07,6.769230769230769
2015-11-04 21,-1.0
2015-11-05 03,-1.0
2015-11-20 23,7.133333333333334
2015-11-30 02,11.777777777777779
2015-12-06 21,4.533333333333333
2015-12-16 12,34.56521739130435
2015-12-21 14,15.0
2015-12-24 20,23.25
2015-12-30 10,136.85714285714286
2016-01-02 06,6.333333333333333
2016-01-12 04,4.25
2015-10-31 00,-1.0
2015-11-13 15,2.090909090909091
2015-11-15 17,2.090909090909091
2015-11-25 04,0.6363636363636364
2015-11-25 12,3.8333333333333335
2015-12-02 10,41.65
2015-12-02 17,36.69565217391305
2015-12-10 16,20.647058823529413
2015-12-19 11,0.5
2015-12-20 21,47.857142857142854
2015-12-30 16,13.6875
2015-11-09 15,9.6
2015-11-18 12,31.615384615384617
2015-12-04 00,3.8125
2015-12-05 03,1.7272727272727273
2015-12-13 14,7.666666666666667
2015-12-22 16,5.323529411764706
2015-12-22 18,20.9375
2016-01-09 19,1.6
2016-01-12 11,16.11111111111111
2016-01-13 00,11.021739130434783
2015-10-21 23,-1.0
2015-11-06 14,-1.0
2015-11-09 03,20.333333333333332
2015-11-14 12,0.5
2015-11-17 05,23.3
2015-11-25 07,4.076923076923077
2015-11-26 03,3.9285714285714284
2015-12-14 01,4.571428571428571
2015-12-20 10,0.0
2015-12-21 01,1.7777777777777777
2015-12-27 20,2.3
2016-01-06 18,61.11764705882353
2016-01-11 00,1.9333333333333333
2015-10-22 08,-1.0
2015-11-11 12,40.11764705882353
2015-11-16 09,1.5789473684210527
2015-11-30 03,9.375
2015-12-03 00,4.121212121212121
2015-12-06 22,23.133333333333333
2015-12-08 16,4.416666666666667
2015-12-10 01,0.7857142857142857
2015-12-13 23,5.125
2015-12-26 06,0.3333333333333333
2015-10-19 09,-1.0
2015-11-15 18,8.285714285714286
2015-11-21 20,4.8
2015-11-22 20,0.7619047619047619
2015-11-26 22,9.333333333333334
2015-12-02 06,3.2
2015-12-07 15,100.8
2015-12-19 17,5.25
2016-01-09 12,0.16666666666666666
2015-12-29 18,2.0
2015-11-04 10,-1.0
2015-11-06 00,-1.0
2015-11-06 22,-1.0
2015-12-10 09,4.388888888888889
2015-12-10 10,11.5
2015-12-16 10,16.5
2015-12-18 16,6.6
2016-01-12 09,0.7894736842105263
2016-01-14 06,1.9166666666666667
2015-11-05 11,-1.0
2015-11-11 05,70.5
2015-11-21 22,101.0
2015-12-07 22,5.615384615384615
2015-12-08 20,22.764705882352942
2015-12-08 23,8.928571428571429
2015-12-24 11,30.25
2015-12-27 12,6.9
2016-01-05 09,6.354838709677419
2016-01-13 09,19.76923076923077
2015-12-29 19,2.7777777777777777
2015-07-22 00,-1.0
2015-11-09 07,1.6666666666666667
2015-11-22 19,19.363636363636363
2015-11-26 15,3.5625
2015-11-27 15,16.59090909090909
2015-12-14 16,10.037037037037036
2015-12-15 06,2.1333333333333333
2015-12-20 14,6.181818181818182
2015-12-29 15,31.545454545454547
2015-10-23 12,-1.0
2015-11-02 07,-1.0
2015-11-13 17,77.44444444444444
2015-12-07 19,11.5
2015-12-14 23,10.956521739130435
2015-12-16 04,4.0588235294117645
2015-12-28 13,3.8636363636363638
2015-11-09 18,130.1
2015-11-13 16,4.666666666666667
2015-11-17 18,13.866666666666667
2015-12-08 08,5.0588235294117645
2015-12-21 18,46.464285714285715
2015-12-26 03,0.8
2015-12-26 07,0.0
2015-11-02 19,-1.0
2015-11-15 03,10.2
2015-12-02 08,7.857142857142857
2015-12-10 20,4.6875
2015-12-20 05,0.3333333333333333
2015-12-21 21,6.678571428571429
2016-01-07 04,7.4
2016-01-13 11,6.888888888888889
2015-03-01 18,-1.0
2015-10-20 06,-1.0
2015-11-10 21,81.125
2015-11-14 16,21.6
2015-11-17 22,77.75
2015-11-29 02,17.833333333333332
2015-12-01 17,26.060606060606062
